gene,region,n_f,n_m,mean_md,ci_lo,ci_hi,ci_width,bimod,skewness,crosses_zero
DRD3,Cortex,74,181,0.005499607027036496,-0.008568568315509355,0.021386988902150888,0.029955557217660245,0.36252525289004384,0.24403203731735115,1
DRD3,Caudate,63,183,-0.10074678210447252,-0.3018675824257513,0.10475606884947282,0.4066236512752241,0.30937075593120245,0.05228719370139795,1
DRD3,Putamen,49,156,-0.07412272970304083,-0.31179496184402145,0.1693294044058562,0.48112436624987764,0.3279503065586681,0.11665391244350541,1
DRD3,Nucleus Accumbens,64,182,-0.18332951646769205,-0.5237549920507891,0.14791539669522877,0.6716703887460179,0.3226743135868423,0.0011513108254420782,1
DRD3,Cerebellum,67,174,-0.002961833829661899,-0.011898785563425185,0.0064046775159211375,0.018303463079346324,0.34152865325545595,0.1230721126509235,1
DRD3,Cerebellar Hemi.,58,157,0.0027620787876987615,-0.008021076473430018,0.015162602153141927,0.023183678626571946,0.3277200287478379,0.21095716901759184,1
DRD3,Substantia Nigra,38,101,0.030108864994226544,-0.03467564160450153,0.14763499025777996,0.1823106318622815,0.4370489490008208,0.9363615108795407,1
DRD3,Spinal Cord,57,102,-0.005925733318999829,-0.03422964074712097,0.019734811703298705,0.05396445245041967,0.335083396217042,-0.12710634326398745,1
NLGN1,Hypothalamus,55,147,-0.08056683029561555,-0.2610954474552301,0.11001784117871204,0.37111328863394216,0.33657915476638084,0.06998965299060025,1
NLGN1,Amygdala,45,107,0.016865649301347974,-0.14637840837473626,0.17085929878885925,0.3172377071635955,0.34024017382132776,-0.06517268460469304,1
NLGN1,Hippocampus,54,143,-0.10997705624285602,-0.2864319803020241,0.0645838900723102,0.3510158703743343,0.34101811997056225,-0.04217785375516766,1
NLGN1,Ant. Cing. Ctx,48,128,0.032998706324272147,-0.124765571728403,0.19242943509625923,0.31719500682466223,0.3569615977774741,-0.07142775849381502,1
NLGN1,Frontal Cortex,56,153,-0.013329615344450327,-0.17423547261721797,0.14684471589661832,0.3210801885138363,0.31996735481940414,0.0057098648530924615,1
NLGN1,Cortex,74,181,-0.061143264214928744,-0.15199577105679227,0.03028482565453942,0.18228059671133168,0.3281749714528629,-0.03800649925004872,1
NLGN1,Caudate,63,183,-0.07583986557353915,-0.25037585556369935,0.10318883395119754,0.3535646895148969,0.3273768294387114,0.019053841845542072,1
NLGN1,Putamen,49,156,-0.03776717213506331,-0.2398060395131094,0.16587186407698373,0.40567790359009315,0.3347183337837518,0.028861878912930558,1
NLGN1,Nucleus Accumbens,64,182,-0.062379002789850674,-0.24266921954110218,0.12067395025559287,0.36334316979669506,0.3303705924841613,0.0509192406470887,1
NLGN1,Cerebellum,67,174,0.06421111132295304,-0.027580593787434902,0.15983884817421262,0.18741944196164753,0.350031869355338,0.022218717803256464,1
NLGN1,Cerebellar Hemi.,58,157,-0.05318949897360538,-0.20691153922695887,0.09547518095792189,0.3023867201848808,0.3368289431510451,-0.10492611595576357,1
NLGN1,Substantia Nigra,38,101,0.014009570300259785,-0.18996760049423012,0.20943484657446726,0.3994024470686974,0.34293814337691664,-0.029795902546812393,1
NLGN1,Spinal Cord,57,102,-0.015986514048618977,-0.15486048048284784,0.12393139633422849,0.27879187681707635,0.34472296233350275,0.06750395812886066,1
SST,Hypothalamus,55,147,-0.6188024351749498,-1.3208612348317812,0.05041667416466112,1.3712779089964424,0.3364864548944887,-0.0902350985397903,1
SST,Amygdala,45,107,-0.12699915255233477,-0.7964821050560621,0.5046874859807436,1.3011695910368057,0.32632210702501346,-0.11853535861738004,1
